,Date,High,Low,Open,Close,Volume,Adj Close,ds,y,Daily Change,yhat
0,2017-01-03,1.2899600267410278,1.2772300243377686,1.2772300243377686,1.2899600267410278,227183.0,1.2899600267410278,2017-01-03,1.2899600267410278,0.012730002403259277,1.2892609989510093
1,2017-01-04,1.2899600267410278,1.2772300243377686,1.2899600267410278,1.2772300243377686,228832.0,1.2772300243377686,2017-01-04,1.2772300243377686,-0.012730002403259277,1.2828035534155915
2,2017-01-05,1.2899600267410278,1.2772300243377686,1.2772300243377686,1.2772300243377686,1947314.0,1.2772300243377686,2017-01-05,1.2772300243377686,0.0,1.281115520763985
3,2017-01-06,1.2899600267410278,1.272979974746704,1.2772300243377686,1.272979974746704,346666.0,1.272979974746704,2017-01-06,1.272979974746704,-0.004250049591064453,1.2832392934382004
4,2017-01-09,1.2772300243377686,1.2687400579452515,1.2772300243377686,1.2687400579452515,190183.0,1.2687400579452515,2017-01-09,1.2687400579452515,-0.00848996639251709,1.281915919090686
5,2017-01-10,1.2899600267410278,1.2687400579452515,1.2687400579452515,1.2899600267410278,692153.0,1.2899600267410278,2017-01-10,1.2899600267410278,0.021219968795776367,1.2755799898340843
6,2017-01-11,1.2941999435424805,1.272979974746704,1.2899600267410278,1.272979974746704,2372456.0,1.272979974746704,2017-01-11,1.272979974746704,-0.01698005199432373,1.270463310850661
7,2017-01-12,1.2899600267410278,1.272979974746704,1.2814699411392212,1.2899600267410278,2551799.0,1.2899600267410278,2017-01-12,1.2899600267410278,0.00849008560180664,1.2693691441935864
8,2017-01-13,1.2941999435424805,1.2772300243377686,1.2814699411392212,1.2814699411392212,3060839.0,1.2814699411392212,2017-01-13,1.2814699411392212,0.0,1.2724501964278856
9,2017-01-16,1.2814699411392212,1.272979974746704,1.2814699411392212,1.2814699411392212,1371580.0,1.2814699411392212,2017-01-16,1.2814699411392212,0.0,1.2802931493557401
10,2017-01-17,1.2899600267410278,1.2772300243377686,1.2814699411392212,1.2857099771499634,4464705.0,1.2857099771499634,2017-01-17,1.2857099771499634,0.0042400360107421875,1.2779262654775352
11,2017-01-18,1.2941999435424805,1.2814699411392212,1.2857099771499634,1.2899600267410278,957042.0,1.2899600267410278,2017-01-18,1.2899600267410278,0.004250049591064453,1.2760714069687968
12,2017-01-19,1.2941999435424805,1.2857099771499634,1.2899600267410278,1.2857099771499634,2756829.0,1.2857099771499634,2017-01-19,1.2857099771499634,-0.004250049591064453,1.2773050587094539
13,2017-01-20,1.2941999435424805,1.2857099771499634,1.2857099771499634,1.2857099771499634,1331752.0,1.2857099771499634,2017-01-20,1.2857099771499634,0.0,1.2822733324223061
14,2017-01-23,1.2941999435424805,1.2857099771499634,1.2857099771499634,1.2857099771499634,2504665.0,1.2857099771499634,2017-01-23,1.2857099771499634,0.0,1.3001148436511214
