id,thedate,comp_name,comp_code,open,low,high,lastDone,chg,chgPercent,vol,buy,sell
2799,26-Feb-19,LANDMARKS BHD,LANDMRK,0.51,0.5,0.51,0.51,-0.005,-0.97,331,0.500 / 299,0.510 / 130
2800,26-Feb-19,LATITUDE TREE HOLDINGS BHD,LATITUD,3.88,3.85,3.9,3.85,-0.03,-0.77,150,3.820 / 13,3.870 / 30
2801,26-Feb-19,LAY HONG BHD,LAYHONG,0.425,0.405,0.43,0.41,-0.03,-6.82,"209,046","0.405 / 10,071",0.410 / 386
2802,26-Feb-19,LAY HONG BERHAD - WARRANTS 2016/2021,LAYHONG-WA,0.195,0.18,0.195,0.185,-0.015,-7.5,"71,670","0.180 / 3,396","0.185 / 3,292"
2803,26-Feb-19,LB ALUMINIUM BHD,LBALUM,0.48,0.48,0.49,0.48,0.005,1.05,630,0.480 / 30,0.485 / 30
2804,26-Feb-19,LBI CAPITAL BHD,LBICAP,0.735,0.73,0.77,0.75,0.03,4.17,328,0.750 / 68,0.765 / 19
2805,26-Feb-19,LBS BINA GROUP BHD,LBS,0.68,0.675,0.68,0.675,-0.005,-0.74,"2,809","0.670 / 2,240","0.680 / 13,946"
2806,26-Feb-19,LBS BINA GROUP BERHAD - REDEEMABLE CONVERTIBLE PREFERENCE SHARES,LBS-PA,-,-,-,0.84,0,0,0,0.845 / 100,1.100 / 60
2807,26-Feb-19,LBS BINA GROUP BERHAD - WARRANTS B,LBS-WB,0.225,0.225,0.25,0.25,0,0,16,0.225 / 144,0.250 / 75
2808,26-Feb-19,LOTTE CHEMICAL TITAN HOLDING BERHAD,LCTITAN,4.4,4.38,4.41,4.38,-0.03,-0.68,"2,175","4.380 / 1,032",4.390 / 45
2809,26-Feb-19,LEBTECH BERHAD,LEBTECH,-,-,-,0.86,0,0,0,0.825 / 1,0.945 / 2
2810,26-Feb-19,LEE SWEE KIAT GROUP BHD,LEESK,0.975,0.93,0.975,0.95,-0.025,-2.56,"4,923",0.950 / 504,0.955 / 195
2811,26-Feb-19,LEON FUAT BERHAD,LEONFB,0.51,0.51,0.51,0.51,-0.005,-0.97,400,0.505 / 200,0.515 / 120
2812,26-Feb-19,LEWEKO RESOURCES BHD,LEWEKO,-,-,-,0.14,0,0,0,0.145 / 90,0.155 / 290
2813,26-Feb-19,LEWEKO RESOURCES BERHAD - WARRANTS B 2015/2020,LEWEKO-WB,-,-,-,0.055,0,0,0,0.050 / 200,0.060 / 500
2814,26-Feb-19,LFE CORPORATION BHD,LFECORP,-,-,-,0.11,0,0,0,0.105 / 500,0.145 / 850
2815,26-Feb-19,LIEN HOE CORPORATION BHD,LIENHOE,0.275,0.275,0.28,0.28,-0.005,-1.75,310,0.275 / 650,0.280 / 947
2816,26-Feb-19,LII HEN INDUSTRIES BHD,LIIHEN,2.86,2.82,2.9,2.9,0.03,1.05,"1,353",2.850 / 5,2.900 / 204
2817,26-Feb-19,LION FOREST INDUSTRIES BHD,LIONFIB,0.42,0.415,0.42,0.415,-0.005,-1.19,300,0.415 / 38,0.470 / 35
2818,26-Feb-19,LION INDUSTRIES CORPORATION,LIONIND,0.575,0.545,0.575,0.545,-0.03,-5.22,"35,990",0.545 / 237,0.555 / 100
2819,26-Feb-19,LINGKARAN TRANS KOTA HOLDINGS,LITRAK,4.15,4.11,4.23,4.18,0.01,0.24,"5,082","4.180 / 1,179",4.190 / 194
2820,26-Feb-19,LKL INTERNATIONAL BERHAD,LKL,0.11,0.11,0.11,0.11,-0.005,-4.35,"1,215","0.110 / 4,308","0.115 / 2,381"
2821,26-Feb-19,LONDON BISCUITS BHD,LONBISC,0.495,0.48,0.5,0.485,-0.005,-1.02,"85,967","0.485 / 1,291",0.490 / 771
2822,26-Feb-19,LONDON BISCUITS BERHAD-WARRANTS 2015/2020,LONBISC-WA,-,-,-,0.045,0,0,0,"0.045 / 4,395","0.050 / 1,970"
2823,26-Feb-19,LPI CAPITAL BHD,LPI,16.32,16.3,16.36,16.36,0.06,0.37,"1,174",16.340 / 2,16.360 / 17
2824,26-Feb-19,LEADER STEEL HOLDINGS BHD,LSTEEL,0.31,0.27,0.33,0.275,-0.035,-11.29,"6,521",0.275 / 230,0.300 / 228
2825,26-Feb-19,LTKM BHD,LTKM,1.27,1.22,1.3,1.3,0.03,2.36,988,1.220 / 399,1.300 / 70
2826,26-Feb-19,LUSTER INDUSTRIES BHD,LUSTER,0.08,0.08,0.08,0.08,0,0,"3,994","0.080 / 15,618","0.085 / 49,216"
2827,26-Feb-19,LUSTER INDUSTRIES-WARR 12/22,LUSTER-WA,-,-,-,0.03,0,0,0,"0.025 / 41,666","0.035 / 12,609"
