id,thedate,comp_name,comp_code,open,low,high,lastDone,chg,chgPercent,vol,buy,sell
1,25-Feb-19,A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),A50CHIN-C22,0.12,0.12,0.235,0.225,0.135,150,"65,332",0.195 / 200,0.240 / 150
2,25-Feb-19,A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),A50CHIN-C22,0.12,0.12,0.235,0.225,0.135,150,"65,332",0.195 / 200,0.240 / 150
3,25-Feb-19,A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),A50CHIN-C22,0.12,0.12,0.235,0.225,0.135,150,"65,332",0.195 / 200,0.240 / 150
4,25-Feb-19,A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),A50CHIN-C22,0.12,0.12,0.235,0.225,0.135,150,"65,332",0.195 / 200,0.240 / 150
5,25-Feb-19,A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),A50CHIN-C24,0.645,0.645,0.8,0.8,0.3,60,400,0.000 / 0,0.000 / 0
6,25-Feb-19,A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),A50CHIN-C26,0.41,0.41,0.495,0.495,0.115,30.26,"86,944",0.000 / 0,0.000 / 0
7,25-Feb-19,A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),A50CHIN-C28,0.265,0.265,0.275,0.27,0.085,45.95,"25,304",0.000 / 0,0.000 / 0
8,25-Feb-19,A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),A50CHIN-C30,0.255,0.255,0.36,0.35,0.12,52.17,"64,282",0.220 / 200,0.000 / 0
9,25-Feb-19,A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),A50CHIN-C32,0.59,0.59,0.75,0.75,0.25,50,"9,631",0.000 / 0,0.000 / 0
10,25-Feb-19,A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),A50CHIN-C34,0.855,0.855,0.86,0.86,0.08,10.26,150,0.000 / 0,0.000 / 0
11,25-Feb-19,A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),A50CHIN-C36,0.475,0.46,0.575,0.57,0.15,35.71,"124,492",0.490 / 100,0.000 / 0
12,25-Feb-19,A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),A50CHIN-H21,-,-,-,0.05,0,0,0,0.000 / 0,0.000 / 0
13,25-Feb-19,A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),A50CHIN-H23,0.015,0.015,0.015,0.015,0,0,670,0.000 / 0,0.010 / 450
14,25-Feb-19,A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),A50CHIN-H25,-,-,-,0.035,0,0,0,0.010 / 700,0.000 / 0
15,25-Feb-19,A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),A50CHIN-H27,0.115,0.08,0.12,0.085,-0.05,-37.04,"29,362","0.075 / 1,500",0.090 / 398
16,25-Feb-19,ASTRAL ASIA BHD,AASIA,-,-,-,0.145,0,0,0,"0.145 / 1,025",0.155 / 410
17,25-Feb-19,AIRASIA X BERHAD,AAX,0.26,0.26,0.265,0.26,0,0,"171,049","0.260 / 120,567","0.265 / 33,110"
18,25-Feb-19,AAX-C20: CW AIRASIA X BERHAD (RHB),AAX-C20,-,-,-,0.005,0,0,0,0.000 / 0,"0.005 / 11,500"
19,25-Feb-19,AAX-C21: CW AIRASIA X BERHAD (MACQ),AAX-C21,-,-,-,0.005,0,0,0,0.000 / 0,0.000 / 0
20,25-Feb-19,AIRASIA X BERHAD - WARRANTS  A  2015/2020,AAX-WA,0.055,0.055,0.06,0.06,0,0,"11,164","0.055 / 27,565","0.060 / 4,412"
21,25-Feb-19,ABF MALAYSIA BOND INDEX FUND,ABFMY1,1.166,1.166,1.166,1.166,-0.004,-0.34,"1,000","1.163 / 1,000","1.168 / 1,000"
22,25-Feb-19,ABLEGROUP BERHAD,ABLEGRP,0.075,0.07,0.075,0.075,-0.005,-6.25,320,"0.070 / 13,150",0.075 / 650
