Date,High,Low,Open,Close,Volume,yhat,us_china,trump,malaysia,Score,target_cls
2017-01-02,4.510000229,4.510000229,4.510000229,4.510000229,0.0,4.422927659,62.0,58.42857143,39.42857143,0.0,1.0
2017-01-03,4.570000172,4.510000229,4.53000021,4.539999962,12056200.0,4.438929924,64.0,61.85714286,39.85714286,0.0,1.0
2017-01-04,4.6199998860000004,4.539999962,4.539999962,4.599999905,19551700.0,4.461631533,66.0,65.28571429,40.28571429,0.0,1.0
2017-01-05,4.670000076,4.599999905,4.6199998860000004,4.659999847,20520700.0,4.4904982,68.0,68.71428571,40.71428571,0.0,1.0
2017-01-06,4.739999771,4.659999847,4.659999847,4.739999771,18234800.0,4.515629843,70.0,72.14285714,41.14285714,0.0,1.0
2017-01-09,4.789999962,4.739999771,4.75,4.760000229,13204800.0,4.534182008,72.42857143,81.71428571,41.14285714,0.0,1.0
2017-01-10,4.8000001910000005,4.75,4.760000229,4.8000001910000005,15809700.0,4.546838972,70.85714286,84.42857143,40.28571429,0.0,1.0
2017-01-11,4.829999924,4.8000001910000005,4.809999943,4.820000172,19984100.0,4.56758494,69.28571429,87.14285714,39.42857143,0.0,1.0
2017-01-12,4.8699998860000004,4.820000172,4.820000172,4.860000134,23162100.0,4.585672914,67.71428571,89.85714286,38.57142857,0.0,0.0
2017-01-13,4.8800001139999996,4.809999943,4.849999905,4.820000172,11672300.0,4.591468543,66.14285714,92.57142857,37.71428571,0.0,0.0
2017-01-16,4.820000172,4.710000038,4.820000172,4.71999979,19593700.0,4.579001599,67.57142857,98.28571429,36.71428571,0.0,1.0
2017-01-17,4.75,4.710000038,4.71999979,4.739999771,13155400.0,4.588269788,72.14285714,98.57142857,37.42857143,0.0,1.0
2017-01-18,4.820000172,4.739999771,4.739999771,4.820000172,19247000.0,4.597981493,76.71428571,98.85714286,38.14285714,0.0,0.0
2017-01-19,4.840000153,4.789999962,4.829999924,4.820000172,11505300.0,4.601234141,81.28571429,99.14285714,38.85714286,0.0,1.0
2017-01-20,4.860000134,4.820000172,4.820000172,4.840000153,19609400.0,4.600769008,85.85714286,99.42857143,39.57142857,0.0,1.0
2017-01-23,4.8800001139999996,4.8000001910000005,4.8000001910000005,4.8800001139999996,23353600.0,4.662522242,89.85714286,92.57142857,39.85714286,0.0,1.0
2017-01-24,4.929999828,4.860000134,4.8800001139999996,4.920000076,32865800.0,4.693481721,84.71428571,85.14285714,38.71428571,0.0,1.0
2017-01-25,4.96999979,4.920000076,4.929999828,4.960000038,22045300.0,4.709873553,82.14285714,81.42857143,38.14285714,0.0,1.0
2017-01-26,5.019999981000001,4.9499998089999995,4.960000038,5.019999981000001,30947000.0,4.7125351989999995,73.14285714,73.28571429,37.85714286,0.0,0.0
2017-01-27,5.019999981000001,4.960000038,5.019999981000001,5.0,7421100.0,4.715180832,69.28571429,72.57142857,38.71428571,0.0,0.0
2017-01-31,5.010000229,4.909999847,5.0,4.96999979,6884300.0,4.835480842,65.42857143,71.85714286,39.57142857,0.0,0.0
2017-02-02,5.0,4.940000057,5.0,4.9499998089999995,7697500.0,4.850430801,57.71428571,70.42857143,41.28571429,0.0,1.0
2017-02-03,4.980000018999999,4.929999828,4.9499998089999995,4.96999979,9580100.0,4.856300737,54.14285714,64.71428571,43.0,0.0,0.0
2017-02-06,5.0,4.960000038,4.96999979,4.96999979,11135800.0,4.895363387,58.28571429,60.42857143,43.0,0.0,0.0
