"","rsi","sma","lma","adx","macd","signal","Date","High","Low","Open","Close","Volume","yhat","us_china","trump","malaysia","Score","target_cls","class"
"154",84.5,6.8,6.7,34,0.2369,0.1603,"2017-08-14",6.809999943,6.739999771,6.75,6.78000021,10078800,6.63965118,47.85714286,17.42857143,94.28571429,0,0,-1
"155",79,6.8,6.8,35.2,0.2417,0.1791,"2017-08-15",6.809999943,6.75,6.769999981,6.78000021,7486600,6.640235306,46.71428571,16.85714286,88.57142857,0,0,-1
"156",78.9,6.8,6.8,36.3,0.238,0.1936,"2017-08-16",6.789999962,6.730000019,6.789999962,6.769999981,10244200,6.633278823,45.57142857,16.28571429,82.85714286,0,0,-1
"157",75.1,6.8,6.8,36.9,0.2229,0.2034,"2017-08-17",6.809999943,6.730000019,6.769999981,6.769999981,7602600,6.629910683,44.42857143,15.71428571,77.14285714,0,0,-1
"158",76.7,6.8,6.8,37.7,0.2055,0.2105,"2017-08-18",6.769999981,6.690000057,6.710000038,6.769999981,7143000,6.63558721,43.28571429,15.14285714,71.42857143,0,0,-1
"159",79.8,6.8,6.8,37.6,0.1851,0.2146,"2017-08-21",6.769999981,6.71999979,6.75,6.75,10316000,6.64789089,43.42857143,13.85714286,57.85714286,0,0,-1
"160",66.5,6.8,6.8,37.5,0.1652,0.2138,"2017-08-22",6.769999981,6.71999979,6.769999981,6.75,10687900,6.645238487,45.85714286,13.71428571,55.71428571,0,0,-1
"161",61.8,6.8,6.8,37.4,0.143,0.2072,"2017-08-23",6.760000229,6.71999979,6.75,6.739999771,15680600,6.65345429,50.71428571,13.42857143,51.42857143,0,0,-1
"162",49.6,6.8,6.8,37.3,0.1202,0.1954,"2017-08-24",6.730000019,6.510000229,6.710000038,6.71999979,15095800,6.675312886,53.14285714,13.28571429,49.28571429,0,0,-1
"163",32.5,6.7,6.8,35.4,0.0984,0.18,"2017-08-25",6.71999979,6.619999886,6.699999809,6.71999979,5878200,6.700947426,56.57142857,12.14285714,48.42857143,0,1,1
"164",22.7,6.7,6.7,33.6,0.0829,0.1624,"2017-08-28",6.78000021,6.619999886,6.650000095,6.78000021,6736500,6.700163774,55.85714286,11.71428571,50.14285714,1,0,-1
"165",58.4,6.7,6.7,31.3,0.0591,0.1425,"2017-08-29",6.800000191,6.679999828,6.789999962,6.699999809,19642300,6.694557187,55.14285714,11.28571429,51.85714286,0,1,1
"166",32.9,6.7,6.7,29.3,0.0781,0.1264,"2017-08-31",7.079999924,7.079999924,7.079999924,7.079999924,0,6.7277925,54.42857143,10.85714286,53.57142857,0,0,-1
"167",79.6,6.8,6.7,29.9,0.0991,0.1146,"2017-09-01",7.079999924,7.079999924,7.079999924,7.079999924,0,6.745862357,50.71428571,10.57142857,55.57142857,0,0,-1
"168",80.1,6.9,6.8,30.5,0.0954,0.1046,"2017-09-05",7,6.710000038,7,6.760000229,15962400,6.705339857,48.42857143,11.14285714,54.14285714,0,0,-1
"169",47.5,6.9,6.9,29,0.0955,0.0969,"2017-09-06",6.809999943,6.71999979,6.760000229,6.75,6913300,6.700719987,46.14285714,11.71428571,52.71428571,0,1,1
"170",46.7,6.9,6.9,27.7,0.1088,0.0931,"2017-09-07",6.909999847,6.739999771,6.769999981,6.909999847,16763400,6.692363653,43.85714286,12.28571429,51.28571429,0,0,-1
"171",57,6.9,6.9,25.8,0.0963,0.0904,"2017-09-08",6.869999886,6.760000229,6.869999886,6.760000229,6675800,6.671747246,41.57142857,12.85714286,49.85714286,0,1,1
"172",47.4,6.9,6.9,24,0.0982,0.0904,"2017-09-11",6.809999943,6.760000229,6.760000229,6.769999981,10169400,6.589119843,37.57142857,14.42857143,46.71428571,0,1,1
"173",47.9,6.8,6.9,22.3,0.0505,0.0868,"2017-09-12",6.800000191,6.730000019,6.78000021,6.800000191,18131600,6.57601848,38.14285714,14.85714286,46.42857143,0,0,-1
"174",49.7,6.8,6.8,20.9,-0.0047,0.0797,"2017-09-13",6.800000191,6.71999979,6.78000021,6.71999979,5199900,6.560144669,38.71428571,15.28571429,46.14285714,0,1,1
"175",44.1,6.8,6.8,19.7,-0.0109,0.0698,"2017-09-14",6.760000229,6.710000038,6.739999771,6.730000019,7145000,6.531873019,39.28571429,15.71428571,45.85714286,0,1,1
"176",44.3,6.8,6.8,18.7,-0.0105,0.0576,"2017-09-15",6.75,6.53000021,6.730000019,6.75,25743300,6.491886997,39.85714286,16.14285714,45.57142857,0,0,-1
"177",45.3,6.8,6.8,19.2,-0.0393,0.0427,"2017-09-18",6.710000038,6.619999886,6.699999809,6.690000057,11429700,6.392081878,41.57142857,16.57142857,44.85714286,0,0,-1
"178",39.5,6.7,6.8,19.6,-0.0698,0.0243,"2017-09-19",6.670000076,6.460000038,6.650000095,6.460000038,20290300,6.367901855,42.14285714,16.14285714,44.71428571,0,0,-1
