"","rsi","sma","lma","adx","macd","signal","us_china","malaysia","Score","class"
"101",93.2,6.3,6.2,50.9,0.3212,0.2292,53.71428571,37.71428571,0,"Up"
"102",94.8,6.4,6.3,52.7,0.372,0.2464,51.14285714,37.14285714,1,"Up"
"103",96.2,6.4,6.4,54.7,0.4221,0.2707,47.71428571,38.28571429,0,"Down"
"104",97.4,6.5,6.4,56.8,0.4441,0.2994,48.57142857,39.42857143,1,"Down"
"105",96,6.6,6.5,58.8,0.4586,0.3299,49.42857143,40.57142857,0,"Down"
"106",90.9,6.7,6.6,60.6,0.4699,0.3598,50.28571429,41.71428571,0,"Down"
"107",83.5,6.7,6.7,61.5,0.474,0.3875,51.14285714,42.71428571,0,"Down"
"108",75.6,6.7,6.7,61.4,0.4589,0.4108,50.28571429,41.42857143,0,"Up"
"109",70.5,6.7,6.7,61.5,0.4399,0.429,49.42857143,40.14285714,0,"Up"
"110",75.9,6.7,6.7,61.6,0.4048,0.4383,48.57142857,38.85714286,1,"Down"
"111",75.9,6.7,6.7,62.1,0.3687,0.4379,47.71428571,37.57142857,0,"Down"
"112",68.9,6.7,6.7,62.3,0.3315,0.4278,49.71428571,36.14285714,0,"Down"
"113",57.5,6.7,6.7,61.5,0.2991,0.4117,53.42857143,37.28571429,0,"Up"
"114",51,6.7,6.7,60.2,0.2751,0.3913,57.14285714,38.42857143,0,"Down"
"115",49.5,6.7,6.7,59.1,0.2535,0.3673,60.85714286,39.57142857,0,"Up"
"116",46.1,6.7,6.7,58.2,0.219,0.3389,64.57142857,40.71428571,0,"Down"
"117",49.6,6.7,6.7,57.2,0.1774,0.3077,70.57142857,43.28571429,0,"Down"
"118",44.1,6.7,6.7,56.2,0.1397,0.2743,69.14285714,43.57142857,0,"Up"
"119",44.8,6.7,6.7,55.3,0.1135,0.2419,67.71428571,43.85714286,0,"Down"
"120",51.4,6.7,6.7,55.5,0.0869,0.2106,66.28571429,44.14285714,0,"Down"
"121",41.5,6.7,6.7,55.4,0.0542,0.1798,64.85714286,44.42857143,0,"Down"
"122",29.4,6.6,6.7,52.7,0.0207,0.1489,67,46.57142857,0,"Down"
"123",20.2,6.6,6.6,49.8,-0.0109,0.1171,72,48.14285714,0,"Down"
"124",15.9,6.6,6.6,47.2,-0.0385,0.0847,77,49.71428571,0,"Up"
"125",14.9,6.6,6.6,44.7,-0.0571,0.054,82,51.28571429,0,"Down"
"126",44.7,6.5,6.6,43.1,-0.0814,0.0252,87,52.85714286,0,"Down"
"127",37.7,6.5,6.5,41.7,-0.0983,-0.0012,93.57142857,55,0,"Down"
"128",35,6.5,6.5,39.5,-0.117,-0.0268,90.14285714,54,0,"Down"
"129",21.9,6.5,6.5,37.3,-0.1301,-0.0509,86.71428571,53,0,"Up"
"130",17.3,6.5,6.5,35.7,-0.139,-0.0724,83.28571429,52,0,"Down"
"131",22.9,6.4,6.5,34.2,-0.149,-0.0913,79.85714286,51,0,"Down"
"132",22.9,6.4,6.4,32.3,-0.1797,-0.11,73.28571429,47.57142857,0,"Up"
"133",19.2,6.3,6.4,31.3,-0.1996,-0.1279,73.57142857,46.14285714,0,"Up"
"134",29.6,6.3,6.3,30.2,-0.208,-0.1447,73.85714286,44.71428571,0,"Down"
"135",45.3,6.3,6.3,28.5,-0.2033,-0.1582,74.14285714,43.28571429,0,"Up"
"136",36,6.3,6.3,26.5,-0.1818,-0.1675,74.42857143,41.85714286,0,"Down"
"137",41.9,6.3,6.3,24.7,-0.1668,-0.173,77.42857143,39.28571429,0,"Up"
"138",41.3,6.4,6.3,23,-0.1541,-0.1757,77.42857143,39.28571429,0,"Up"
"139",41.7,6.4,6.4,21.4,-0.134,-0.1752,77.42857143,39.28571429,0,"Up"
"140",42.2,6.3,6.4,19.9,-0.1196,-0.1719,79.85714286,39.57142857,0,"Up"
"141",46.4,6.3,6.3,19.1,-0.1129,-0.1645,82.28571429,39.85714286,0,"Up"
"142",58.3,6.4,6.3,18.4,-0.0694,-0.15,84.71428571,40.14285714,0,"Up"
"143",79.6,6.4,6.4,19.6,-0.0272,-0.1299,87.14285714,40.42857143,0,"Down"
"144",84,6.5,6.4,21.4,0.007,-0.1065,88.28571429,42.14285714,0,"Down"
"145",68.4,6.5,6.5,22.2,0.0379,-0.0821,84.57142857,43.28571429,0,"Up"
"146",62.7,6.5,6.5,23,0.0724,-0.0555,80.85714286,44.42857143,0,"Up"
"147",67.3,6.6,6.5,23.7,0.1073,-0.0265,77.14285714,45.57142857,0,"Up"
"148",70.3,6.6,6.6,24.5,0.1349,0.0034,73.42857143,46.71428571,0,"Up"
"149",72.3,6.6,6.6,26.3,0.1412,0.0324,63.57142857,56.28571429,1,"Up"
"150",77.6,6.6,6.6,28,0.1487,0.0614,61.14285714,63.57142857,0,"Down"
"151",81.7,6.6,6.6,29.8,0.1726,0.0883,58.71428571,70.85714286,0,"Up"
"152",81.9,6.7,6.6,31.6,0.2023,0.1138,56.28571429,78.14285714,0,"Up"
"153",83.1,6.7,6.7,32.8,0.2262,0.1382,53.85714286,85.42857143,0,"Down"
